Gene1	Gene2	pdi	ppi	Dir
1875	91752	1	0	1
1875	94239	1	0	1
1875	113457	1	0	1
1875	113791	1	0	1
1875	206358	1	0	1
1875	221037	1	0	1
1875	375790	1	0	1
2113	1875	1	0	1
4609	1875	1	0	1
7157	1875	1	0	1
8553	1875	1	0	1
23598	1875	1	0	1
