## There are #18 experiments in this file			
## 001 -- alpha_factor_release_sample013			
## 002 -- alpha_factor_release_sample014			
## 003 -- alpha_factor_release_sample015			
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015
ypl079w	0.12	-0.6	0.08
ypl078c	-0.22	-0.24	0.05
yar003w	-0.23	-0.28	0.87
ypl077c	0.07	-0.39	0.56
ypl265w	-1.04	0.46	1.16
ypl076w	-0.01	0.09	-0.09
ypl075w	-0.31	-0.39	-0.04
ypl074w	-0.29	0.16	-1.35
ypl073c	-0.85	-0.68	-0.59
ypl072w	0.07	0.24	0.17
ypl071c	0.04	-0.18	0.08
ypl070w	0.36	NA	-0.76
ypl069c	-0.17	-0.2	-0.18
yar007c	-0.68	-0.43	0.76
ypl068c	-0.37	-1.26	-0.91
ypl067c	-0.15	-0.11	0.59
ypl066w	-0.73	-2.25	-1.08
ypl065w	-0.08	0.17	0.18
ypl064c	-0.15	NA	-0.8
ypl063w	0.06	0.23	0.14
ypl062w	0	-0.76	-1.55
ypl061w	0.13	1.17	1.81
ypl264c	-0.27	-0.34	0.23
ypl060w	0.14	-0.85	-0.85
yar008w	-0.19	-0.56	0.7
ypl059w	-0.03	-0.34	0.39
ypl263c	0.08	-0.35	-0.58
ypl058c	1.13	0.86	0.81
ypl057c	0.47	-0.19	1.16
ypl056c	-1.13	-0.65	-0.46
ypl055c	-0.58	-0.63	-0.57
ypl054w	-0.56	0.47	0.1
ypl053c	0.04	-0.08	0.39
ypl052w	0.43	-0.33	0.14
ypl051w	0.07	-0.17	0.04
yar009c	0.96	0.77	0.33
ypl050c	-0.06	-0.29	0.28
ypl049c	-0.14	-0.51	-0.92
ypl048w	0.29	0.16	0.32
ypl047w	0.43	0.96	-0.33
ypl046c	NA	-0.77	NA
ypl045w	0.5	0.31	0.4
ypl044c	0.11	NA	-1.63
ypl043w	0.35	NA	-1.15
ypl042c	0.02	0.3	-1.78
ypl262w	0.13	0.34	0.16
ypl041c	0.09	-2.46	0.38
ypl040c	-0.38	-0.37	-0.13
ypl039w	-0.17	-0.41	-0.25
ypl038w	0.07	0.78	-0.56
ypl037c	0.4	0.11	0.22
ypl036w	-0.55	-0.82	-1
ypl035c	0.08	-0.12	0.22
ypl034w	0.15	0	0.06
ypl033c	-0.57	-1.08	-0.18
ypl032c	-0.47	-0.81	-0.49
yar014c	-0.06	-1.1	-0.37
ypl261c	0.07	-0.19	0.23
ypl031c	-0.46	-0.79	-0.12
ypl260w	-0.13	0.39	0.15
ypl030w	-0.17	-1.08	-0.65
ypl029w	0.01	-0.82	-0.07
ypl028w	0.16	0.1	0.57
ypl027w	-0.3	-1.15	-0.28
ypl026c	-0.21	0.54	0.16
ypl025c	-0.38	-0.73	-0.28
ypl024w	-0.12	0.35	0.47
yar015w	0.25	0.78	0.2
ypl023c	0.24	0.29	0.35
ypl022w	-0.11	-0.44	-0.16
ypl021w	-0.17	-0.48	0.11
ypl020c	0.23	-0.31	-0.49
ypl259c	0.17	0.02	-0.14
ypl019c	-0.59	-0.61	-0.26
ypl018w	-1.26	NA	-0.48
ypl017c	-1.06	-0.58	-0.13
ypl016w	NA	NA	NA
ypl015c	-0.44	-0.14	0.34
yar018c	-0.4	1.39	-0.24
ypl014w	-0.68	-0.9	0.76
ypl013c	-0.33	-0.39	-0.01
ypl012w	-0.02	-1.65	-1.92
ypl011c	-0.18	-0.34	-0.15
ypl258c	-0.01	-0.07	-0.12
ypl010w	0.08	0.24	0.27
ypl009c	-0.13	-0.6	-0.07
ypl008w	-0.34	-0.65	-0.05
ypl007c	-0.27	-0.41	-0.11
ypl006w	-0.53	0.72	-0.5
yar019c	0.36	1.1	-1.08
ypl005w	-1.02	-0.53	-0.39
ypl004c	-0.36	0.78	0.64
ypl003w	-0.03	-0.05	0.38
ypl002c	0.04	0.22	0.17
ypl001w	-0.1	-0.41	0.17
ypr001w	-0.35	-0.21	-0.82
ypr002w	-0.01	0.17	0.88
ypr003c	-0.53	NA	0.12
ypr004c	NA	-0.05	-0.15
ypr005c	-0.03	1.84	0.12
ypr006c	0.06	1.3	0.49
ypr008w	0.16	-0.09	0.41
ypr009w	-0.1	-0.17	-0.09
ypr010c	0.04	-0.76	-0.78
ypr011c	-0.24	-0.23	-0.16
ypr012w	0.25	-0.59	0.05
ypr013c	-0.04	-0.57	-0.59
ypr014c	0.03	-0.51	-0.13
yar023c	0.19	1.4	0.19
ypr015c	-0.08	-0.47	-0.08
ypr016c	0.26	-0.33	-0.38
ypr017c	-0.28	-0.41	-0.17
ypr018w	-0.57	-0.01	0.47
ypr019w	-0.81	NA	-0.15
ypr020w	0.31	0.03	0.16
ypr021c	-0.23	-0.13	-0.21
ypr022c	-0.06	0.97	-1.06
ypr023c	-0.13	0.28	-0.16
ypr024w	0.07	0.11	0.09
ypr025c	-0.46	0	-0.61
ypr026w	-0.2	-0.2	-0.13
ypr027c	0.48	2.54	-0.46
ypr028w	0.01	-0.23	-0.04
ypr029c	-0.22	-0.56	-0.05
ypr030w	-0.13	0.33	-0.4
ypr031w	-0.71	-1.18	-0.47
ypr032w	-0.11	-0.73	-0.05
ypr033c	0.24	-0.27	0.12
ypr034w	-0.38	-1.03	-0.46
ypr035w	0.58	0.75	0.58
ypr036w	0.03	-0.26	0.17
ypr037c	-0.12	-0.28	-0.01
ypr040w	-0.08	-0.64	-0.12
ypr041w	0.19	-0.15	-0.28
ypl256c	-1.7	-0.88	1.27
ypr042c	-0.17	NA	-0.33
yar028w	-0.08	0.23	0.25
ypr043w	-0.09	-0.03	-0.51
ypr044c	0.13	-0.22	-0.28
ypr045c	-0.32	0.24	-0.35
ypr046w	-0.17	-0.19	-0.26
ypr047w	0.12	0.56	-0.14
ypr048w	0.21	-0.52	-0.29
ypr049c	-0.17	-0.2	-0.42
ypr050c	-0.07	-0.49	-0.46
ypr051w	-0.4	-0.28	-0.71
yar029w	-0.24	-0.23	-0.22
ypr053c	-0.67	-0.6	-0.63
ypr054w	-0.45	-0.56	0.05
ypr055w	-0.69	-0.42	-0.15
ypr056w	-0.56	-0.67	-0.19
ypr057w	-0.46	-0.6	-0.28
ypr058w	0.14	-0.33	0.07
ypr059c	0.11	0.04	0.12
ypr060c	0.32	-0.29	0.26
ypr061c	-0.33	-0.37	-0.1
ypr062w	-0.13	-0.47	-0.26
yar030c	0.04	-0.1	-0.07
ypl255w	-1.26	-1	0.4
ypr063c	-0.16	-0.19	-0.23
ypr064w	-0.08	-0.08	0.1
ypr065w	-0.15	-0.1	-0.49
ypr066w	0.36	-0.43	-0.17
ypr067w	-0.1	0.12	-0.29
ypr068c	-0.02	-0.15	-0.23
ypr069c	-0.2	-0.01	0.29
ypr070w	0.09	0.04	-2.25
ypr071w	0.19	0.11	0.37
yar031w	1.54	0.61	-0.01
ypr072w	-0.02	-0.18	-0.03
ypr073c	0.06	0.15	-0.2
ypr074c	0.27	-0.11	-0.04
ypl254w	0.07	0.62	-0.13
ypr075c	0.02	0.27	0.2
ypr076w	0.14	0.09	0.3
ypr078c	0.76	-0.41	0.33
ypr079w	0.12	0.27	0.18
ypr080w	0.28	-0.18	0.22
ypr081c	0.17	0.21	0.02
ypr082c	-0.11	-0.42	0
ypr083w	-0.26	-0.4	-0.18
ypr084w	-0.13	-0.55	-0.2
ypr085c	-0.29	NA	-0.44
ypr086w	0.28	-0.12	0.13
ypl253c	-0.83	-0.53	-0.19
ypr087w	0	-0.3	-0.1
ypr088c	0.15	-0.32	0.12
ypr089w	-0.09	0	-0.09
ypr091c	-0.17	0.2	-0.37
ypr092w	-0.15	-0.05	-0.06
ypr093c	-0.19	0.03	-0.47
ypr094w	0.24	-0.1	-0.19
ypr095c	-2.16	-1.18	NA
ypr096c	0.03	-0.32	-0.12
ypr097w	-0.05	-0.26	-0.6
ypr098c	-0.03	-0.28	-0.04
ypr099c	-0.11	-0.16	-0.26
yar042w	0.05	-0.23	0.31
ypr100w	0.08	-0.52	0.05
ypr101w	-0.12	-0.23	-0.34
ypr102c	0.27	0	0.19
ypr103w	0.09	-0.03	0.2
ypr104c	-0.9	-1.4	-0.82
ypl252c	0.01	-0.46	-0.47
ypl251w	-0.04	-0.92	0.27
ypr105c	-0.46	-0.57	-0.36
ypr106w	-1.19	-1.16	-1.29
ypr107c	-0.3	-0.19	-0.26
yar044w	-0.03	0.94	-0.04
ypr108w	0.04	-0.03	0.41
ypl250c	0.32	1.31	0.45
ypr109w	0.05	-0.04	0.13
ypr110c	0.11	-0.53	-0.33
ypr111w	-0.57	-0.72	-0.47
ypr112c	0.38	-1.37	-0.8
ypr113w	-0.03	-0.08	-0.32
ypr114w	-0.12	-0.52	-0.08
ypr115w	-0.32	-0.18	NA
yar047c	-0.18	0.14	-0.25
ypr116w	0.22	-0.59	-0.44
ypr117w	-1.44	-0.15	-1.12
ypl249c	0.48	0.57	-1.53
ypr118w	0.42	-0.05	0.13
ypr119w	NA	-1.47	-1.97
ypr120c	-1.03	-0.13	1.2
ypr121w	-0.13	-0.55	-0.37
ypr122w	0.41	0.27	0.13
ypr123c	-0.72	-0.83	-0.66
ypr124w	-0.47	-0.66	-0.15
yar050w	0.09	0.64	0.07
ypr125w	0.21	-0.17	0.42
ypr126c	0.06	-0.87	0.47
ypr127w	-0.12	-0.16	0.1
ypr128c	-0.01	-0.21	0.4
ypr129w	-0.47	-0.68	-0.29
ypr130c	-0.28	-0.78	0.05
ypr132w	0.12	-0.49	0.14
ypr133c	-0.1	-0.47	-0.37
yar053w	-0.11	0.11	0.12
ypl248c	-0.06	-0.42	-0.2
ypr134w	-0.15	-0.47	0.4
ypr135w	-0.71	-0.23	0.21
ypr136c	-0.26	-1.41	-0.14
ypr137w	-0.46	-1.21	-1.05
ypr138c	-0.74	-0.65	-0.43
ypr139c	-0.04	-0.71	-0.2
ypr140w	0.7	0.8	1.12
ypr141c	1.86	-0.89	-0.76
yal064w	0.15	-0.31	0.54
ypr142c	0.28	-0.9	-0.38
ypr143w	0.3	-0.59	-0.93
ypr144c	0.25	-0.99	-0.38
ypr145w	0.3	0.25	0.27
ypr147c	-0.2	0	-0.37
ypl247c	0.1	0.31	0.38
ypr148c	0.05	-0.66	-0.02
ypr149w	NA	-1.34	-0.86
ypr150w	-0.38	-0.2	-0.37
yar060c	0.02	-0.1	0.23
ypr151c	-0.93	1.56	-0.74
ypr152c	-0.27	-0.75	-0.27
ypr153w	-1.14	0.63	-0.89
ypr154w	0.4	-0.09	0.7
ypr155c	-0.04	0.9	0.17
ypr156c	-0.88	-0.27	-0.83
ypr157w	0.65	0.03	-0.29
ypr158w	0.23	0.32	0.76
ypl246c	0.21	0.01	0.23
ypl245w	-0.31	-0.88	-0.38
ypr159w	0.65	0.19	0.62
ypr160w	-0.79	1.7	0.95
ypr161c	-1.15	0.38	-0.18
ypr162c	-0.37	0.93	0.08
ypr163c	-0.14	-0.67	-0.93
ypl244c	-0.08	-0.29	-0.25
ypr164w	-0.13	-0.28	-0.27
ypr165w	0.53	0.71	0.28
ypr166c	0.11	0.89	-0.27
ypr167c	0.17	0.46	0.07
ypr168w	-0.23	1.03	-0.93
ypr169w	0.08	-0.34	-0.59
ypr170c	0.7	0.26	0.19
ypr171w	-0.47	-0.25	-0.53
ypl243w	-0.07	-0.79	-0.07
ypr172w	0.52	0.39	0.48
ypr173c	-0.26	-0.49	0.23
ypr174c	-0.73	-0.83	0.77
ypr175w	-0.13	-0.57	0.41
ypr176c	-0.14	-0.32	0.31
yar064w	NA	1.98	0.82
ypr177c	-0.24	-1.2	-0.2
ypr178w	-0.36	0.8	-0.32
ypr179c	0.19	0.14	0.44
ypr180w	-0.23	-0.48	-0.1
ypr181c	-0.21	-0.75	-0.07
ypr182w	-0.53	-1.08	-0.3
ypr183w	-0.08	-0.33	0.27
ypr184w	-1.65	1.18	-1.09
ypl242c	-1.35	-1.17	-1.65
ypr185w	-0.37	0.11	0.16
ypr186c	-0.02	-0.15	-0.69
ypr187w	-0.09	-0.16	-0.66
ypr188c	-0.29	0.22	-1.5
ypr189w	-0.52	0.54	-0.41
ypr190c	0.31	-0.1	-0.65
ypr191w	-0.23	0.27	0.07
ypr192w	-0.73	-0.47	-0.04
ypr193c	-0.88	-0.05	-0.05
ypr194c	-0.27	NA	-0.51
ypr195c	-1.09	-2.17	-0.16
ypr196w	0.03	0.43	-1.1
ypr197c	-0.51	-0.29	0.33
ypr198w	0.14	-0.07	0.35
ypr199c	-0.13	0.09	-0.39
ypr200c	-0.46	0.27	0.76
ypr201w	-0.44	-0.08	-0.02
ypl241c	-0.53	-0.77	0.72
yar069c	-0.72	-0.53	-0.11
ypl240c	0.08	-0.13	0.62
ypl239w	0.01	-0.18	-0.06
yar071w	-0.62	-0.39	0.44
ybl064c	-0.04	0.44	0.78
ybl063w	-0.78	-0.28	-0.72
ybl062w	0.49	-0.44	0.21
ybl061c	0.1	-0.3	-0.21
ybl060w	-0.32	-0.22	0.11
ybl106c	0.41	-0.7	0.17
ybl059w	0.2	-0.22	0.13
ybl058w	-0.02	-0.11	0.11
ybl057c	-0.18	-0.31	-0.13
ybl056w	-0.08	-0.23	0.06
ybl055c	0.32	-0.09	-0.05
ybl054w	0.46	-1.68	-1.08
ybl053w	-0.24	-0.63	-0.77
ybl052c	-0.23	-0.18	-0.74
ybl051c	0.11	-0.46	-0.19
ybl050w	0.07	0.17	0.17
ybl049w	0.07	-0.1	0.02
ybl048w	0.23	0.16	-0.1
ybl047c	-0.29	0.16	0.04
yal063c	0.11	-0.17	-0.14
ybl046w	-0.29	-0.18	0.03
ybl045c	-0.51	-0.17	0.16
ybl044w	-0.78	0.01	-1.44
ybl043w	-1.15	-0.65	-2.15
ybl042c	0.23	-0.23	-0.32
ybl041w	0.07	0.03	0
ybl040c	-0.1	0.14	-0.06
ybl105c	-0.18	-0.03	-0.21
ybl039c	0.17	-0.48	-0.99
ybl038w	0.03	-0.31	0.13
yal062w	0.36	0.31	0.24
ybl037w	-0.11	0.03	0.22
ybl036c	0.21	-0.12	0.51
ybl035c	-0.68	-0.45	1.1
ybl034c	-0.49	-0.15	-0.38
ybl033c	0.12	0.53	-0.07
ybl032w	-0.82	-1.03	-0.88
ybl031w	-0.79	-0.62	0
ybl030c	0.5	0.17	0.8
ybl029w	-0.1	-0.13	-0.19
ybl028c	0.26	-0.76	-0.66
yal061w	-0.99	0.84	0.05
ybl027w	0.09	-0.32	-0.14
ybl026w	0.2	-0.19	-0.56
ybl025w	-0.59	-0.49	-0.99
ybl024w	-0.18	-0.27	-1.22
ybl023c	-0.94	-0.18	0.03
ybl022c	0.23	-0.02	0.22
ybl021c	-0.37	-0.39	-0.27
ybl020w	0.15	-0.7	-0.64
ybl104c	0.07	-0.21	0.06
ybl019w	-0.96	-0.1	NA
ybl018c	-0.29	-0.39	-0.13
ybl017c	-1.45	0.1	-0.41
ybl016w	NA	0.36	-1.46
ybl015w	-0.44	0	-0.02
ybl014c	-0.11	-0.94	-0.52
ybl013w	-0.44	-0.67	-0.13
ybl012c	-0.17	-0.32	0.14
ybl011w	-0.38	-0.62	-0.16
ybl010c	-0.35	-0.25	0.31
ybl009w	-0.86	-1.87	-0.29
yal060w	-0.52	0.48	0.54
ybl007c	-0.02	-0.17	0.13
ybl006c	-0.05	0.51	-0.2
ybl005w	1.47	1.28	1.38
ybl103c	0.02	-0.03	0.11
ybl004w	-1.21	-0.73	-1.47
ybl003c	-2.2	-2.21	-2.05
ybl002w	NA	-2.15	-1.94
yal059w	0.17	-0.76	-0.79
ybl001c	-0.69	0.04	-0.45
ybr001c	-0.51	0.46	0.85
ybl102w	-0.02	-0.14	0.4
ybr002c	0.01	-0.65	-0.19
ybr003w	0.21	0.24	0.38
ybr004c	0.77	-0.13	-0.33
ybr005w	2.02	1.2	0.62
ybr006w	-0.34	-0.73	0.22
ybr007c	-0.4	-0.08	0.05
ybl101c	0.16	0.6	0.28
yal058w	0.26	0	0.41
ybr008c	-0.14	0.1	-0.22
ybr009c	NA	NA	-1.71
ybr010w	-1.89	-1.94	-1.51
ybr011c	0.31	-0.42	0.42
ybr014c	-0.11	0.06	0.36
ybr015c	0.02	-0.78	0.37
ybr016w	0.63	0.03	0.25
ybr017c	0.13	-0.1	0.26
ybr018c	-0.66	NA	-0.86
ybr019c	-0.45	0.28	-0.55
ybr020w	-0.87	-0.63	-1.26
ybr021w	-0.18	0.42	0.62
ybr022w	0.37	-0.51	0.29
ybr023c	1.43	0.79	0.2
yal056w	-0.34	-0.33	-0.76
ybr024w	0.23	-0.86	0.22
ybr025c	0.43	0.01	-0.15
ybr027c	-0.35	-0.58	-0.34
ybr028c	-0.66	-0.3	-0.35
ybr029c	-0.05	-0.44	-0.41
ybr030w	0.03	-0.47	-0.69
yal055w	-0.47	-0.06	NA
ybr031w	0.32	-0.3	0.35
ybr032w	-0.16	0.11	-0.18
ybr033w	-0.33	-1.48	-0.25
ybr034c	0.42	-1.41	-0.97
ybr035c	-0.2	-0.28	0.32
ybr036c	0.05	-0.12	0.09
ybr037c	-0.42	-0.25	0.18
ybr038w	-0.79	-1.26	-0.7
ybr039w	-0.68	-0.72	-0.15
ybr040w	NA	NA	NA
yal054c	-0.32	-1.01	-0.09
ybr041w	0.09	0.04	0.62
ybr042c	-0.54	-0.04	-0.19
ybr043c	-0.19	-0.19	-0.29
ybr044c	-0.43	-0.73	-0.1
ybr045c	-0.02	0.02	-0.11
ybr046c	0.3	0.96	1.36
ybr047w	0	0.71	0.29
ybr048w	0.24	-0.04	0.39
ybr049c	-1	-0.6	-0.96
ybr050c	-1.45	0.86	0.87
yal053w	0.82	0.54	0.67
ybr051w	0.1	1.87	0.05
ybr052c	-0.09	1.87	0.52
ybr053c	0.06	0.89	0.47
ybr054w	NA	-2.02	-1.19
ybr056w	0.47	0.65	1.1
ybr057c	0.03	0.46	-0.39
ybr058c	0.16	0.03	-0.04
ybr059c	-0.25	0.35	0.92
ybr060c	-0.14	-0.56	-0.16
yal051w	-0.59	-0.4	-0.41
ybr061c	0.11	-0.63	-0.33
ybr062c	0	0.08	0.2
ybr063c	-0.29	0	-0.08
ybr064w	-0.28	-0.03	-0.13
ybr065c	-0.22	-0.46	-0.28
ybl100c	-0.19	-0.28	0.62
ybr066c	-0.07	0.36	-0.87
ybl099w	-0.01	1.93	0.31
ybr067c	1.51	1.04	1.09
ybr068c	0.36	1.22	-0.28
yal049c	0.23	0.18	0.4
ybr069c	-0.16	-0.42	-0.54
ybr070c	-1.24	-0.51	0.33
ybr071w	-1.12	-0.16	1.25
ybr072w	-1.05	-0.04	-0.29
ybr073w	-0.53	0.68	0.37
ybr074w	0.08	2.19	-0.27
ybr075w	0.04	-0.28	-0.27
ybr076w	-0.35	-0.28	-0.32
ybl098w	-0.49	-0.57	-0.02
ybr077c	-0.39	-0.19	0.02
yal048c	-0.19	0.77	-0.15
ybr078w	-0.17	-0.29	-0.15
ybr079c	-0.03	-0.77	-0.24
ybr080c	0.04	-0.25	0.23
ybr081c	-0.26	-0.27	-0.09
ybr082c	0.11	-0.16	0.21
ybl097w	-0.76	-1.03	-1.56
ybr083w	0.63	0.02	-1.35
ybr084w	0.05	-0.56	-0.33
ybr084c-a	0.05	-0.21	-0.03
ybr085w	0.32	-0.01	0.32
yal047c	0.01	-0.41	0.4
ybr086c	-0.13	-0.56	-0.22
ybr087w	-0.11	-0.33	0.28
ybr088c	-1.81	-1.13	1.18
ybr089w	-0.68	-0.47	0.75
ybr090c	-0.37	-0.18	0.08
ybr091c	-0.19	-0.18	0.01
ybr092c	0.6	-0.13	0.02
ybr093c	-0.65	-0.34	-0.02
ybl096c	-0.34	0.07	0.03
yal046c	-0.25	0.06	-0.31
ybr094w	-0.46	-0.64	-1.98
ybl095w	-0.52	-0.43	-0.66
ybr095c	-0.23	-0.02	-0.57
ybr096w	0.01	0.66	0.41
ybr097w	-0.03	-0.13	-0.34
ybl094c	-0.42	-0.34	-0.21
ybr098w	-0.26	-0.11	0.42
ybl093c	-0.26	-0.84	-0.36
ybr099c	-0.3	-0.45	0.05
ybr101c	0.36	0.81	-0.44
ybr102c	-0.29	-0.5	-0.37
ybr103w	-0.43	0.02	-0.36
ybr104w	-0.01	-0.43	-0.07
ybr105c	0.78	-0.38	-0.01
ybr106w	-0.03	-0.15	0.26
ybr107c	-0.26	-0.49	0.18
ybr108w	-0.08	0.18	0.35
ybr109c	0.27	-0.02	0.44
ybr110w	0.08	-0.11	0.24
yal044c	-0.55	-0.15	-0.21
ybl092w	0.14	-0.08	0
ybr111c	0.17	-0.01	0.47
ybr112c	-0.29	0.69	-0.26
ybr113w	-0.21	-0.03	-0.15
ybr114w	0.24	-0.51	-1.05
ybr115c	-0.03	-0.12	0.35
ybl091c	-0.07	0.02	-0.18
ybr117c	0.01	-0.34	-0.06
yal043c	-0.22	-0.22	-0.17
ybr118w	0.35	0.25	-0.01
ybr119w	0.35	0.99	-0.12
ybr120c	0.33	0.76	-0.77
ybr121c	0.03	-0.24	-0.2
ybr122c	-0.31	-0.35	-0.47
ybr123c	-0.46	-0.35	-0.56
ybr124w	0.05	-0.12	-0.77
ybr125c	0.42	0.11	0.21
ybl090w	0.06	0.04	0.16
ybr126c	0.02	0.95	0.8
ybr127c	0.2	-0.17	0.09
ybr128c	0.04	0.01	-0.08
ybl089w	-0.24	-0.13	-0.08
ybr129c	-0.12	-0.24	-0.13
ybr130c	-0.07	-0.12	-0.1
ybr131w	0.09	-0.54	-0.13
ybr132c	0.04	1.14	1.01
ybr133c	-0.04	-0.52	-0.24
ybr134w	-0.08	-0.02	-0.05
ybr135w	-0.16	-0.59	-0.12
yal042w	-0.1	-0.26	0.05
ybr136w	-0.63	0.21	-0.69
ybl088c	-0.38	-0.28	-0.35
ybr137w	0.01	0.57	0.19
ybr138c	0.82	0.11	NA
ybr139w	-0.42	0.1	0.29
ybr140c	-0.06	-0.34	-0.52
ybr141c	0.17	-0.56	-0.37
ybr142w	-0.41	-0.56	-1.18
ybr143c	-0.03	-0.39	-0.51
ybr144c	-0.01	0.58	-0.79
yal041w	-0.06	-0.5	-0.08
ybr145w	0.31	0.41	0.56
ybr146w	0.07	0.03	-0.43
ybr147w	-0.21	0.46	0.12
ybr148w	0.05	-0.35	-0.18
ybr149w	0.56	0.47	1.24
ybr150c	-0.08	0.22	0.24
ybr151w	0.34	-0.02	0.55
ybr152w	-0.03	1.32	-0.43
ybr153w	0.38	-0.58	0.07
ybr154c	0.09	-0.95	-0.38
yal040c	1.58	0.69	0.77
ybr155w	0.35	-0.81	-0.24
ybr156c	-0.41	-0.94	-0.13
ybr157c	0.25	-0.49	0.06
ybr158w	1.13	NA	-2.21
ybr159w	0.12	-0.21	0.33
ybr160w	-0.28	-0.44	0.15
ybr161w	-0.53	0.11	0.17
ybr162c	0.29	-0.42	-0.34
ybr162w-a	0.08	-0.13	-0.03
ybr163w	-0.45	-0.69	-0.33
yal039c	0.73	0.09	0.24
ybr164c	0.13	-0.02	0.2
ybr165w	0.27	0.11	-0.52
ybr166c	0.39	-0.07	0.08
ybr167c	0.13	-0.34	0.05
ybr168w	-0.16	0	0.22
ybr169c	0.03	0.3	-0.97
ybr170c	-0.17	0.09	0.31
ybr171w	0.02	-0.28	0.06
ybr172c	0.04	-1.03	-0.34
yal038w	0.28	-0.12	0.06
ybr173c	0	0	0.08
ybr174c	-0.01	-0.25	0.23
ybr175w	-0.15	-0.46	-0.29
ybr176w	-0.03	-0.55	0.05
ybr177c	-0.51	-0.33	-0.12
ybr178w	-0.12	-0.34	0.24
ybr179c	-0.24	-0.38	-0.41
ybr180w	-0.31	-0.39	0.2
ybr181c	0.13	-0.45	-0.07
ybr182c	0.61	-0.58	0.16
yal067c	-0.25	1.51	-0.17
ybr183w	0.7	1.82	0.14
ybr184w	-1.04	0.06	-0.57
ybl087c	-0.1	-0.24	-0.54
ybr185c	0.11	-0.82	0.18
ybr186w	-0.85	0.26	-0.52
ybr187w	-0.68	-1.1	-0.61
ybr188c	-0.14	0.08	-0.23
ybr189w	-0.11	-0.52	-0.44
ybr190w	0.21	0.21	-0.07
yal037w	0.36	-0.7	0
ybr192w	-0.16	-0.1	-0.12
ybr193c	-0.12	-0.24	-0.01
ybr194w	0.73	0.71	0.24
ybr195c	-0.24	-0.79	0.02
ybl086c	-0.43	-0.94	0.49
ybr196c	0.28	-0.23	0.48
ybr197c	-0.07	-0.47	-0.3
ybr198c	-0.17	-0.62	-0.07
ybr199w	-0.14	0.43	0.34
ybr200w	0.08	-0.42	0.15
yal036c	0.01	-1.02	-0.81
ybr201w	0.07	0.07	0.26
ybr202w	-1.07	-0.76	0.45
ybr203w	0.52	0.22	-0.25
ybr204c	0.09	0.05	0.57
ybr205w	-0.05	-0.55	0.04
ybr207w	-0.27	-0.26	-0.12
ybr208c	-0.21	1.32	-1.27
ybl085w	0.19	-0.44	-0.74
ybr209w	-0.63	-0.31	-0.36
yal035w	0.01	-0.36	-0.28
ybr210w	-0.07	0.2	0.03
ybr211c	-0.66	0.05	-0.53
ybr212w	-0.11	-0.03	0.01
ybr213w	-0.58	0.14	-0.48
ybr214w	0.47	1.24	0.91
ybr215w	-0.45	-0.32	-0.33
ybr216c	-0.26	0.89	-0.26
ybr217w	-0.35	0.12	-0.11
ybr218c	-0.1	0.39	0.49
ybr220c	0.09	-0.56	-0.01
ybr221c	0.08	-0.29	0.3
ybr222c	-0.25	-0.51	-0.08
ybr223c	1.14	0.58	0.1
ybr225w	0.98	0.06	0.06
ybl084c	-0.58	0.92	0.67
ybr227c	-0.02	-0.08	-0.05
ybr228w	0.04	-0.31	0.19
ybr229c	-0.13	-0.59	0.1
ybr230c	0.07	0.86	1.15
ybr231c	-0.65	-0.08	0.07
ybr232c	-0.2	-0.41	0.4
ybr233w	-1.33	-0.63	-1.32
ybr234c	0.31	0.17	0.2
ybr235w	-0.35	-0.19	-0.77
ybr236c	0.13	0.05	-0.04
ybr237w	-0.39	-0.04	-1.14
ybr238c	1.21	-0.03	-0.52
yal034c	-0.21	0.5	-0.95
ybl082c	-0.31	-0.2	-0.2
ybr239c	-0.95	0.25	-0.45
ybr240c	0.2	0.52	-0.36
ybr241c	-0.06	0.57	0.61
ybr242w	-0.22	-0.14	-0.71
ybr243c	-1.25	-1.52	-0.66
ybr244w	-0.1	0.13	-0.17
ybr245c	-0.13	-0.13	0.02
ybr246w	0.63	0.1	0.9
yal033w	-0.2	0.49	-0.38
ybr247c	0.05	-1.6	-1.04
ybr248c	0.08	0.46	0.26
ybr249c	0.56	0.27	0.53
ybl081w	0.01	-0.46	-0.13
ybr250w	-0.15	-0.52	-0.26
ybr251w	-0.31	-0.33	-0.12
ybr252w	-0.34	-0.7	-0.23
ybr253w	-0.08	-0.11	-0.18
ybr254c	-0.02	-0.3	-0.15
ybr255w	-0.03	2.56	0.01
yal032c	-0.22	0.02	-0.05
ybr256c	-0.04	0.26	0.39
ybr257w	-0.1	-0.33	-0.81
ybr258c	0.07	0.09	-0.17
ybr259w	-0.32	-0.45	-0.01
ybl080c	-0.07	-0.29	0.02
ybr260c	0.01	0.27	-0.1
ybr261c	-0.04	-0.12	-0.12
ybr262c	0.1	0.01	-0.2
ybr263w	0.05	0.33	0.2
ybr264c	-0.04	0.54	-0.25
yal031c	-0.28	0.38	-0.37
ybr265w	-0.46	-0.27	-0.65
ybr266c	-0.03	-0.66	-0.74
ybr267w	0.25	-1.46	-0.63
ybr268w	0.2	-0.17	0.12
ybr269c	0.4	0.67	0.66
ybr270c	-0.07	-0.04	-0.09
ybr271w	0.1	-0.35	-0.53
ybr272c	0.46	-0.01	0.09
ybr273c	0.09	0.1	-0.01
ybr274w	0.19	0.03	0.07
yal030w	0.09	0.16	0.21
ybr275c	0.32	0.07	0.27
ybl079w	-0.2	-0.1	-0.29
